年份,增速
2018,6.6%
2017,6.76%
2016,6.74%
2015,6.91%
2014,7.3%
2013,7.77%
2012,7.86%
2011,9.55%
2010,10.64%
2009,9.4%
2008,9.65%
2007,14.23%
2006,12.72%
2005,11.4%
2004,10.11%
2003,10.04%
2002,9.13%
2001,8.34%
2000,8.49%
1999,7.67%
1998,7.84%
1997,9.23%
1996,9.93%
1995,10.95%
1994,13.05%
1993,13.87%
1992,14.22%
1991,9.29%
1990,3.91%
1989,4.19%
1988,11.23%
1987,11.69%
1986,8.94%
1985,13.44%
1984,15.14%
1983,10.84%
1982,8.93%
1981,5.17%
1980,7.81%
1979,7.6%
1978,11.13%
1977,7.57%
1976,-1.57%
1975,8.72%
1974,2.31%
1973,7.76%
1972,3.81%
1971,7.06%
1970,19.3%
1969,16.94%
1968,-4.1%
1967,-5.77%
1966,10.65%
1965,16.95%
1964,18.18%
1963,10.3%
1962,-5.58%
1961,-27.27%
